TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
RQIH,RANDALL & QUILTER INVESTMENT HOLDINGS LTD,ORD 2P (DI),BMG7371X1065,SHRS,Financials,Insurance,05/07/2013,Bermuda,GBX,�452.88,AIM,,AMSM,ASM6
RNK,RANK GROUP PLC,ORD 13 8/9P,GB00B1L5QH97,SHRS,Consumer Discretionary,Travel and Leisure,26/03/2007,United Kingdom,GBX,�843.17,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
RAT,RATHBONE BROTHERS PLC,ORD 5P,GB0002148343,SHRS,Financials,Financial Services ,15/02/2005,United Kingdom,GBX,"�1,234.61",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
RAV,RAVEN PROPERTY GROUP LIMITED,ORD 1P,GB00B0D5V538,SHRS,Real Estate,Real Estate ,19/03/2007,Guernsey,GBX,�152.95,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
RAVP,RAVEN PROPERTY GROUP LIMITED,CUM RED PREF SHS 1P,GG00B55K7B92,SHRS,Real Estate,Real Estate ,25/03/2009,Guernsey,GBX,�242.42,MAIN MARKET,Standard Shares,SSX3,SQSL
RBGP,RBG HOLDINGS PLC,ORD GBP0.002,GB00BFM6WL52,SHRS,Industrials,Industrial Goods and Services,08/05/2018,United Kingdom,GBX,�131.56,AIM,,ASQ1,AMQ1
RBD,REABOLD RESOURCES PLC,ORD 0.1P,GB00B95L0551,SHRS,Energy,Energy,24/12/2012,United Kingdom,GBX,�26.65,AIM,,ASX1,AIMP
RCH,REACH PLC,ORD 10P,GB0009039941,SHRS,Consumer Discretionary,Media,14/06/2004,United Kingdom,GBX,"�1,305.70",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
REAT,REACT GROUP PLC,ORD 0.25P,GB00BZ2JBG28,SHRS,Industrials,Industrial Goods and Services,17/08/2015,United Kingdom,GBX,�13.08,AIM,,ASQ1,AMQ1
RE.,R.E.A. HOLDINGS PLC,ORD 25P,GB0002349065,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",18/12/2006,United Kingdom,GBX,�24.54,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
RE.B,R.E.A. HOLDINGS PLC,9% CUM PRF #1,GB0007185639,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",13/12/2004,United Kingdom,GBX,�63.18,MAIN MARKET,Standard Shares,SSQ3,SQS3
RECI,REAL ESTATE CREDIT INVESTMENTS LIMITED,ORD NPV,GB00B0HW5366,SHRS,Financials,Financial Services ,20/03/2006,Guernsey,GBX,�364.64,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
RLE,REAL ESTATE INVESTORS PLC,ORD 10P,GB00B45XLP34,SHRS,Real Estate,Real Estate ,20/07/2011,United Kingdom,GBX,�74.89,AIM,,ASX1,AIMP
RGD,REAL GOOD FOOD PLC,ORD 2P,GB0033572867,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",31/08/2005,United Kingdom,GBX,�2.49,AIM,,ASX1,AIMP
RKT,RECKITT BENCKISER GROUP PLC,ORD 10P,GB00B24CGK77,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",23/10/2007,United Kingdom,GBX,"�39,574.72",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
RC2,RECONSTRUCTION CAPITAL II LIMITED,ORD EUR0.01,KYG741521028,SHRS,Financials,Financial Services ,28/12/2005,Cayman Islands,EUR,�9.90,AIM,,ASX1,AIMP
REC,RECORD PLC,ORD 0.025P,GB00B28ZPS36,SHRS,Financials,Financial Services ,28/11/2007,United Kingdom,GBX,�176.16,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC7
RCN,REDCENTRIC PLC,ORD 0.1P,GB00B7TW1V39,SHRS,Technology,Technology,24/04/2013,United Kingdom,GBX,�208.13,AIM,,AMSM,ASM6
67GX,REDDE NORTHGATE PLC,5% CUM PRF 50P,GB0003775664,SHRS,Industrials,Industrial Goods and Services,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
REDD,REDDE NORTHGATE PLC,ORD 50P,GB00B41H7391,SHRS,Industrials,Industrial Goods and Services,23/09/2009,United Kingdom,GBX,"�1,069.27",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
RRR,RED ROCK RESOURCES PLC,ORD 0.01P,GB00BYWKBV38,SHRS,Basic Materials,Basic Resources,22/12/2015,United Kingdom,GBX,�6.81,AIM,,ASQ1,AMQ1
RDW,REDROW PLC,ORD 10.5P,GB00BG11K365,SHRS,Consumer Discretionary,Consumer Products and Services,08/04/2019,United Kingdom,GBX,"�2,466.04",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
REDX,REDX PHARMA PLC,ORD 1P,GB00BSNB6S51,SHRS,Health Care ,Health Care  ,27/03/2015,United Kingdom,GBX,�155.25,AIM,,ASQ1,AMQ1
RGL,REGIONAL REIT LIMITED,ORD NPV,GG00BYV2ZQ34,SHRS,Real Estate,Real Estate ,06/11/2015,Guernsey,GBX,�380.59,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
REL,RELX PLC,ORD 14 51/116P,GB00B2B0DG97,SHRS,Consumer Discretionary,Media,07/01/2008,United Kingdom,GBX,"�42,098.61",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
RENX,RENALYTIX PLC,ORD 0.25P,GB00BYWL4Y04,SHRS,Health Care ,Health Care  ,06/11/2018,United Kingdom,GBX,�664.51,AIM,,ASX1,AIMP
RENE,RENEURON GROUP PLC,ORD 1P,GB00BF5G6K95,SHRS,Health Care ,Health Care  ,24/01/2018,United Kingdom,GBX,�59.78,AIM,,ASQ1,AMQ1
RNWH,RENEW HOLDINGS PLC,ORD 10P,GB0005359004,SHRS,Industrials,Construction and Materials,13/01/2006,United Kingdom,GBX,�602.70,AIM,,AMSM,AS50
RWI,RENEWI PLC,ORD GBP1.00,GB00BNR4T868,SHRS,Utilities,Utilities,19/07/2021,United Kingdom,GBX,�433.73,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
RSW,RENISHAW PLC,ORD 20P,GB0007323586,SHRS,Industrials,Industrial Goods and Services,31/10/2003,United Kingdom,GBX,"�3,854.15",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
32ID,RENOLD PLC,6% CUM PRF STK GBP1,GB0007325417,SHRS,Industrials,Industrial Goods and Services,28/06/2002,United Kingdom,GBX,,AIM,,ASXN,AIMN
RNO,RENOLD PLC,ORD 5P,GB0007325078,SHRS,Industrials,Industrial Goods and Services,19/12/2006,United Kingdom,GBX,�55.23,AIM,,AMSM,ASM8
RTO,RENTOKIL INITIAL PLC,ORD 1P,GB00B082RF11,SHRS,Industrials,Industrial Goods and Services,18/09/2006,United Kingdom,GBX,"�10,761.82",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
RESI,RESIDENTIAL SECURE INCOME PLC,ORD GBP0.01,GB00BYSX1508,SHRS,Real Estate,Real Estate ,12/07/2017,United Kingdom,GBX,�186.84,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
RSG,RESOLUTE MINING LIMITED,ORD NPV (DI),AU000000RSG6,SHRS,Basic Materials,Basic Resources,20/06/2019,Australia,GBX,�266.59,MAIN MARKET,Standard Shares,SSMU,SMEV
RTN,RESTAURANT GROUP PLC,ORD 28 1/8P,GB00B0YG1K06,SHRS,Consumer Discretionary,Travel and Leisure,14/08/2006,United Kingdom,GBX,�941.00,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
RST,RESTORE PLC,ORD 5P,GB00B5NR1S72,SHRS,Industrials,Industrial Goods and Services,23/07/2010,United Kingdom,GBX,�656.04,AIM,,ASQ1,AMQ1
RBG,REVOLUTION BARS GROUP PLC,ORD 0.1P,GB00BVDPPV41,SHRS,Consumer Discretionary,Travel and Leisure,13/03/2015,United Kingdom,GBX,�50.15,AIM,,ASQ1,AMQ1
REVB,REVOLUTION BEAUTY GROUP PLC,ORD GBP0.01,GB00BP7L1T61,SHRS,Consumer Discretionary,Consumer Products and Services,19/07/2021,United Kingdom,GBX,�502.39,AIM,,AMSM,ASM7
RHIM,RHI MAGNESITA N.V.,ORD EUR1.00 (DI),NL0012650360,SHRS,Basic Materials,Chemicals,27/10/2017,Netherlands,GBX,"�1,818.86",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
RCDO,RICARDO PLC,ORD 25P,GB0007370074,SHRS,Industrials,Construction and Materials,08/07/2005,United Kingdom,GBX,�241.41,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
RICO,RICOH CO LTD,RICOH ORD SHS,JP3973400009,SHRS,Technology,Technology,05/11/2008,Japan,JPY,"�5,345.52",ADMISSION TO TRADING ONLY,,SSX4,SXNL
RDGC,RIDGECREST PLC,ORD 0.01P,GB0004251970,SHRS,Industrials,Industrial Goods and Services,02/06/2000,United Kingdom,GBX,�5.19,AIM,,ASX1,AIMP
RMV,RIGHTMOVE PLC,ORD 0.1P,GB00BGDT3G23,SHRS,Real Estate,Real Estate ,31/08/2018,United Kingdom,GBX,"�6,003.44",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
RIII,RIGHTS & ISSUES INVESTMENT TRUST PLC,ORD 25P,GB0007392078,SHRS,Financials,Financial Services ,07/06/2004,United Kingdom,GBX,�199.90,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
RIO,RIO TINTO PLC,ORD 10P,GB0007188757,SHRS,Basic Materials,Basic Resources,13/01/2006,United Kingdom,GBX,"�67,435.27",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
RCP,RIT CAPITAL PARTNERS PLC,ORD �1,GB0007366395,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,"�4,089.16",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
RIV,RIVER AND MERCANTILE GROUP PLC,ORD GBP0.003,GB00BLZH7X42,SHRS,Financials,Financial Services ,23/06/2014,United Kingdom,GBX,�192.27,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
RMMC,RIVER AND MERCANTILE UK MICRO CAP INVESTMENT COMPANY LIMITED,RED ORD NPV,GG00BNDMJP11,SHRS,Financials,Financial Services ,10/05/2021,Guernsey,GBX,�99.66,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
RGO,RIVERFORT GLOBAL OPPORTUNITIES PLC,ORD 0.01P,GB00BKKD0862,SHRS,Financials,Financial Services ,06/03/2020,United Kingdom,GBX,�11.44,AIM,,ASX1,AIMP
RCOI,RIVERSTONE CREDIT OPPORTUNITIES INCOME PLC,ORD USD0.01,GB00BJHPS390,SHRS,Financials,Financial Services ,28/05/2019,United Kingdom,USD,�57.57,MAIN MARKET - SFS,,SFM1,SFML
RSE,RIVERSTONE ENERGY LIMITED,ORD NPV,GG00BBHXCL35,SHRS,Financials,Financial Services ,24/10/2013,Guernsey,GBX,�263.53,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC4
RMII,RM INFRASTRUCTURE INCOME PLC,ORD 1P,GB00BYMTBG55,SHRS,Financials,Financial Services ,15/12/2016,United Kingdom,GBX,�106.15,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
RM.,RM PLC,ORD 2 2/7P,GB00BJT0FF39,SHRS,Consumer Discretionary,Consumer Products and Services,20/03/2014,United Kingdom,GBX,�198.78,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
RWA,ROBERT WALTERS PLC,ORD 20P,GB0008475088,SHRS,Industrials,Industrial Goods and Services,02/12/2005,United Kingdom,GBX,�523.82,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
RBN,ROBINSON PLC,ORD 0.5P,GB00B00K4418,SHRS,Industrials,Industrial Goods and Services,22/09/2005,United Kingdom,GBX,�16.33,AIM,,ASX1,AIMP
ROCK,ROCKFIRE RESOURCES PLC,ORD 0.1P,GB00B42TN250,SHRS,Basic Materials,Basic Resources,02/03/2012,United Kingdom,GBX,�10.55,AIM,,ASQ1,AMQ1
RKH,ROCKHOPPER EXPLORATION PLC,ORD 1P,GB00B0FVQX23,SHRS,Energy,Energy,15/08/2005,United Kingdom,GBX,�40.60,AIM,,AMSM,ASM6
ROC,ROCKPOOL ACQUISITIONS PLC,ORD GBP0.05,GB00BF2MWC40,SHRS,Financials,Financial Services ,12/07/2017,United Kingdom,GBX,�1.15,MAIN MARKET,Standard Shares,SSQ3,SQS3
RR.,ROLLS-ROYCE HOLDINGS PLC,ORD SHS 20P,GB00B63H8491,SHRS,Industrials,Industrial Goods and Services,23/05/2011,United Kingdom,GBX,"�9,768.33",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
ROQ,ROQUEFORT INVESTMENTS PLC,ORD 1P,GB00BMDQ2T15,SHRS,Financials,Financial Services ,22/03/2021,United Kingdom,GBX,�3.78,MAIN MARKET,Standard Shares,SSQ3,SQS3
RGP,ROSS GROUP PLC,ORD 0.1P,GB0002192606,SHRS,Industrials,Industrial Goods and Services,19/12/2006,United Kingdom,GBX,�7.55,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
RDT,ROSSLYN DATA TECHNOLOGIES PLC,ORD GBP0.005,GB00BKX5CP01,SHRS,Technology,Technology,29/04/2014,United Kingdom,GBX,�16.65,AIM,,ASQ1,AMQ1
ROL,ROTALA PLC,ORD 25P,GB00B1Z2MP60,SHRS,Consumer Discretionary,Travel and Leisure,19/07/2007,United Kingdom,GBX,�15.78,AIM,,ASX1,AIMP
76ID,ROTORK PLC,9 1/2% CUM PRF #1,GB0007530149,SHRS,Industrials,Industrial Goods and Services,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
ROR,ROTORK PLC,ORD 0.5P,GB00BVFNZH21,SHRS,Industrials,Industrial Goods and Services,18/05/2015,United Kingdom,GBX,"�2,905.58",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
RHM,ROUND HILL MUSIC ROYALTY FUND LIMITED,ORD NPV,GG00BMXNVC81,SHRS,Financials,Financial Services ,13/11/2020,Guernsey,USD,�254.94,MAIN MARKET - SFS,,SFM2,SFQQ
RHMC,ROUND HILL MUSIC ROYALTY FUND LIMITED,C ORD NPV,GG00BMGWM188,SHRS,Financials,Financial Services ,20/07/2021,Guernsey,USD,,MAIN MARKET - SFS,,SFM2,SFQQ
RDSA,ROYAL DUTCH SHELL PLC,'A' ORD EUR0.07,GB00B03MLX29,SHRS,Energy,Energy,13/01/2006,United Kingdom,GBX,"�59,623.82",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
RDSB,ROYAL DUTCH SHELL PLC,'B' ORD EUR0.07,GB00B03MM408,SHRS,Energy,Energy,13/01/2006,United Kingdom,GBX,"�53,401.34",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
RMG,ROYAL MAIL PLC,ORD 1P,GB00BDVZYZ77,SHRS,Industrials,Industrial Goods and Services,11/10/2013,United Kingdom,GBX,"�4,900.00",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
RPS,RPS GROUP PLC,ORD 3P,GB0007594764,SHRS,Industrials,Industrial Goods and Services,31/07/2006,United Kingdom,GBX,�305.26,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
RSAB,RSA INSURANCE GROUP LIMITED,7 3/8% CUM IRRD PRF #1,GB0008631391,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,�162.50,MAIN MARKET,Standard Shares,SSQ3,SQS3
RTC,RTC GROUP PLC,ORD 1P,GB0002920121,SHRS,Industrials,Industrial Goods and Services,02/06/2000,United Kingdom,GBX,�6.96,AIM,,ASX1,AIMP
RTW,RTW VENTURE FUND LIMITED,ORD NPV,GG00BKTRRM22,SHRS,Financials,Financial Services ,30/10/2019,Guernsey,USD,,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON5
RTWG,RTW VENTURE FUND LIMITED,ORD NPV (GBP),GG00BKTRRM22,SHRS,Financials,Financial Services ,06/08/2021,Guernsey,GBX,�4.05,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON5
RUA,RUA LIFE SCIENCES PLC,ORD 5P,GB0033360586,SHRS,Health Care ,Health Care  ,01/09/2003,United Kingdom,GBX,�28.17,AIM,,ASX1,AIMP
RICA,RUFFER INVESTMENT COMPANY LTD,RED PTG PREF SHS 0.01P,GB00B018CS46,SHRS,Financials,Financial Services ,20/12/2005,Guernsey,GBX,�627.12,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
RUR,RURELEC PLC,ORD 1P,GB00B01XPW41,SHRS,Utilities,Utilities,23/06/2005,United Kingdom,GBX,�2.95,AIM,,ASX1,AIMP
RWS,RWS HOLDINGS PLC,ORD 1P,GB00BVFCZV34,SHRS,Industrials,Industrial Goods and Services,11/02/2015,United Kingdom,GBX,"�2,505.25",AIM,,AMSM,AE50
RYA,RYANAIR HOLDINGS PLC,ORD EUR0.006 (CDI),IE00BYTBXV33,SHRS,Consumer Discretionary,Travel and Leisure,28/10/2015,Ireland,EUR,"�15,717.38",MAIN MARKET,Standard Shares,SSMU,SMEU
SFOR,S4 CAPITAL PLC,ORD 25P,GB00BFZZM640,SHRS,Consumer Discretionary,Media,28/09/2018,United Kingdom,GBX,"�4,367.92",MAIN MARKET,Standard Shares,SSMU,SMEU
SNT,SABIEN TECHNOLOGY GROUP PLC,ORD 3P,GB00BN6JG812,SHRS,Industrials,Industrial Goods and Services,30/03/2021,United Kingdom,GBX,�2.91,AIM,,ASX1,AIMP
SBRE,SABRE INSURANCE GROUP PLC,ORD GBP0.001P,GB00BYWVDP49,SHRS,Financials,Insurance,06/12/2017,United Kingdom,GBX,�535.00,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SSTY,SAFESTAY PLC,ORD 1P,GB00BKT0J702,SHRS,Consumer Discretionary,Travel and Leisure,02/05/2014,United Kingdom,GBX,�13.26,AIM,,ASQ1,AMQ1
SAFE,SAFESTORE HOLDINGS PLC,ORD 1P,GB00B1N7Z094,SHRS,Real Estate,Real Estate ,18/06/2007,United Kingdom,GBX,"�2,428.69",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SFE,SAFESTYLE UK PLC,ORD 1P,JE00BGP63272,SHRS,Consumer Discretionary,Retail ,11/12/2013,Jersey,GBX,�76.93,AIM,,AMSM,ASM6
SAGA,SAGA PLC,ORD 15P,GB00BMX64W89,SHRS,Consumer Discretionary,Travel and Leisure,13/10/2020,United Kingdom,GBX,�507.73,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SGE,SAGE GROUP PLC,ORD 1 4/77P,GB00B8C3BL03,SHRS,Technology,Technology,10/06/2013,United Kingdom,GBX,"�7,825.41",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SED,SAIETTA GROUP PLC,ORD GBP0.0011,GB00BNDM6X87,SHRS,Consumer Discretionary,Automobiles and Parts,07/07/2021,United Kingdom,GBX,�199.86,AIM,,ASQ1,AMQ1
SBRY,SAINSBURY (J) PLC,ORD 28 4/7P,GB00B019KW72,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",19/07/2004,United Kingdom,GBX,"�7,237.38",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SO4,SALT LAKE POTASH LIMITED,ORD NPV (DI),AU000000SO44,SHRS,Basic Materials,Chemicals,02/12/2015,Australia,GBX,�34.99,AIM,,ASQ1,AMQ1
LEND,SANCUS LENDING GROUP LIMITED,ORD NPV,GB00B0CL3P62,SHRS,Financials,Financial Services ,21/03/2007,United Kingdom,GBX,�14.84,AIM,,ASQ1,AMQ1
LENZ,SANCUS LENDING GROUP LIMITED,ZDP NPV,GG00BTDYD136,SHRS,Financials,Financial Services ,05/10/2015,United Kingdom,GBX,�9.37,MAIN MARKET,Standard Shares,SSQ3,SQS3
SDG,SANDERSON DESIGN GROUP PLC,ORD 1P,GB0003061511,SHRS,Consumer Discretionary,Consumer Products and Services,22/03/2006,United Kingdom,GBX,�141.97,AIM,,ASQ1,AMQ1
SLE,SAN LEON ENERGY PLC,ORD EUR0.01 (CDI),IE00BWVFTP56,SHRS,Energy,Energy,16/07/2015,Ireland,GBX,�183.34,AIM,,AMSM,ASM6
SNN,SANNE GROUP PLC,ORD GBP0.01,JE00BVRZ8S85,SHRS,Financials,Financial Services ,01/04/2015,Jersey,GBX,"�1,511.51",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SAR,SAREUM HOLDINGS PLC,ORD 0.025P,GB00B02RFS12,SHRS,Health Care ,Health Care  ,11/10/2004,United Kingdom,GBX,�249.06,AIM,,ASX1,AIMP
SAVE,SAVANNAH ENERGY PLC,ORD GBP0.001,GB00BP41S218,SHRS,Energy,Energy,01/08/2014,United Kingdom,GBX,�192.81,AIM,,AMSM,ASM6
SAV,SAVANNAH RESOURCES PLC,ORD 1P,GB00B647W791,SHRS,Basic Materials,Basic Resources,01/11/2010,United Kingdom,GBX,�62.49,AIM,,ASQ1,AMQ1
SVS,SAVILLS PLC,ORD 2.5P,GB00B135BJ46,SHRS,Real Estate,Real Estate ,11/05/2006,United Kingdom,GBX,"�1,952.99",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SCLP,SCANCELL HOLDINGS PLC,ORD 0.1P,GB00B63D3314,SHRS,Health Care ,Health Care  ,26/07/2011,United Kingdom,GBX,�177.31,AIM,,ASQ1,AMQ1
SCHO,SCHOLIUM GROUP PLC,ORD 1P,GB00BJYS2173,SHRS,Consumer Discretionary,Retail ,28/03/2014,United Kingdom,GBX,�4.28,AIM,,ASQ1,AMQ1
ATR,SCHRODER ASIAN TOTAL RETURN INVESTMENT COMPANY PLC,ORD 5P,GB0008710799,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�537.62,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
SDP,SCHRODER ASIAPACIFIC FUND PLC,ORD 10P,GB0007918872,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�979.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
SBO,SCHRODER BRITISH OPPORTUNITIES TRUST PLC,ORD 1P,GB00BN7JZR28,SHRS,Financials,Financial Services ,01/12/2020,United Kingdom,GBX,�79.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SBSI,SCHRODER BSC SOCIAL IMPACT TRUST PLC,ORD 1P,GB00BF781319,SHRS,Financials,Financial Services ,22/12/2020,United Kingdom,GBX,�77.63,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SERE,SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC,ORD GBP0.10,GB00BY7R8K77,SHRS,Real Estate,Real Estate ,09/12/2015,United Kingdom,GBX,�145.44,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SCF,SCHRODER INCOME GROWTH FUND PLC,ORD 10P,GB0007915860,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�219.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SJG,SCHRODER JAPAN GROWTH FUND PLC,ORD 10P,GB0008022849,SHRS,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,�256.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
SOI,SCHRODER ORIENTAL INCOME FUND LIMITED,ORD 1P,GB00B0CRWN59,SHRS,Financials,Financial Services ,02/12/2005,Guernsey,GBX,�727.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
SREI,SCHRODER REAL ESTATE INVESTMENT TRUST LIMITED,ORD SHS NPV,GB00B01HM147,SHRS,Real Estate,Real Estate ,19/09/2005,Guernsey,GBX,�253.40,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
SDR,SCHRODERS PLC,VTG SHS �1,GB0002405495,SHRS,Financials,Financial Services ,30/03/2007,United Kingdom,GBX,"�8,480.36",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SDRC,SCHRODERS PLC,NON-VTG SHS �1,GB0002395811,SHRS,Financials,Financial Services ,30/03/2007,United Kingdom,GBX,"�1,463.50",MAIN MARKET,Standard Shares,SSMU,SMEU
SCP,SCHRODER UK MID CAP FUND PLC,ORD 25P,GB0006108418,SHRS,Financials,Financial Services ,16/12/2008,United Kingdom,GBX,�275.62,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SUPP,SCHRODER UK PUBLIC PRIVATE TRUST PLC,ORD 1P,GB00BVG1CF25,SHRS,Financials,Financial Services ,21/04/2015,United Kingdom,GBX,�282.59,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SAG,SCIENCE GROUP PLC,ORD 1P,GB00B39GTJ17,SHRS,Industrials,Industrial Goods and Services,08/07/2008,United Kingdom,GBX,�179.39,AIM,,ASX1,AIMP
SIS,SCIENCE IN SPORT PLC,ORD 10P,GB00BBPV5329,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",09/08/2013,United Kingdom,GBX,�99.30,AIM,,ASQ1,AMQ1
SCIR,SCIROCCO ENERGY PLC,ORD 0.20P,GB00BF1BK408,SHRS,Energy,Energy,25/07/2017,United Kingdom,GBX,�6.64,AIM,,ASQ1,AMQ1
SGEM,SCOTGEMS PLC,ORD 1P,GB00BYT25542,SHRS,Financials,Financial Services ,26/06/2017,United Kingdom,GBX,�39.75,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SGZ,SCOTGOLD RESOURCES LIMITED,ORD NPV (DI),AU000XINEAK5,SHRS,Basic Materials,Basic Resources,25/08/2017,Australia,GBX,�36.26,AIM,,ASQ1,AMQ1
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC,ORD 25P,GB0007873697,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�908.38,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
SCIN,SCOTTISH INVESTMENT TRUST PLC,ORD 25P,GB0007826091,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,�503.58,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SMT,SCOTTISH MORTGAGE INVESTMENT TRUST PLC,ORD 5P,GB00BLDYK618,SHRS,Financials,Financial Services ,30/06/2014,United Kingdom,GBX,"�19,221.26",MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FE10
SST,SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,ORD 25P,GB0007836132,SHRS,Financials,Financial Services ,16/12/2008,United Kingdom,GBX,�293.70,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
SCS,SCS GROUP PLC,ORD 0.1P,GB00BRF0TJ56,SHRS,Consumer Discretionary,Retail ,28/01/2015,United Kingdom,GBX,�114.04,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
SEIT,SDCL ENERGY EFFICIENCY INCOME TRUST PLC,ORD GBP0.01,GB00BGHVZM47,SHRS,Financials,Financial Services ,11/12/2018,United Kingdom,GBX,�805.73,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC7
SDI,SDI GROUP PLC,ORD 1P,GB00B3FBWW43,SHRS,Industrials,Industrial Goods and Services,08/12/2008,United Kingdom,GBX,�188.21,AIM,,ASQ1,AMQ1
